an and
ar array
be begin
bo boolean
xx break
ca call
cs case
ch char
cr chr
cl close
co const
cv conv
cp cpnt
di div
do do
dw downto
el else
en end
fa false
fl file
fo for
fw forward
fu func
gb getbyte
hi high
if if
in integer
li library
lo low
me mem
ni nil
no not
od odd
of of
ob openb
op openr
ow openw
or or
ox ord
pa packed
pc prec
pr proc
pg program
pb putbyte
re read
rl real
rp repeat
ru run
sh shl
sr shr
su succ
th then
to to
tr true
tc trunc
un until
us uses
va var
wh while
wr write
wl writeln
xo xor
